Time,PacketsReceived,Distance
69.0037,671,79.0037
69.1037,672,79.1037
69.2037,673,79.2037
69.3037,674,79.3037
69.4037,675,79.4037
69.5037,676,79.5037
69.6037,677,79.6037
69.7037,678,79.7037
69.8037,679,79.8037
69.9037,680,79.9037
70.0037,681,80.0037
70.1037,682,80.1037
70.2037,683,80.2037
70.3037,684,80.3037
70.4037,685,80.4037
70.5037,686,80.5037
70.6037,687,80.6037
70.7037,688,80.7037
70.8037,689,80.8037
70.9037,690,80.9037
71.0037,691,81.0037
71.1037,692,81.1037
71.2037,693,81.2037
71.3037,694,81.3037
71.4037,695,81.4037
71.5037,696,81.5037
71.6037,697,81.6037
71.7037,698,81.7037
71.8037,699,81.8037
71.9037,700,81.9037
72.0037,701,82.0037
72.1037,702,82.1037
72.2037,703,82.2037
72.3037,704,82.3037
72.4037,705,82.4037
72.5037,706,82.5037
72.6037,707,82.6037
72.7037,708,82.7037
72.8037,709,82.8037
72.9037,710,82.9037
73.0037,711,83.0037
73.1037,712,83.1037
73.2037,713,83.2037
73.3037,714,83.3037
73.4037,715,83.4037
73.5037,716,83.5037
73.6037,717,83.6037
73.7037,718,83.7037
73.8037,719,83.8037
73.9037,720,83.9037
74.0037,721,84.0037
74.1037,722,84.1037
74.2037,723,84.2037
74.3037,724,84.3037
74.4037,725,84.4037
74.5037,726,84.5037
74.6037,727,84.6037
74.7037,728,84.7037
74.8037,729,84.8037
74.9037,730,84.9037
75.0037,731,85.0037
75.1037,732,85.1037
75.2037,733,85.2037
75.3037,734,85.3037
75.4037,735,85.4037
75.5037,736,85.5037
75.6037,737,85.6037
75.7037,738,85.7037
75.8037,739,85.8037
75.9037,740,85.9037
76.0037,741,86.0037
76.1037,742,86.1037
76.2037,743,86.2037
76.3037,744,86.3037
76.4037,745,86.4037
76.5037,746,86.5037
76.6037,747,86.6037
76.7037,748,86.7037
76.8037,749,86.8037
76.9037,750,86.9037
77.0037,751,87.0037
77.1037,752,87.1037
77.2037,753,87.2037
77.3037,754,87.3037
77.4037,755,87.4037
77.5037,756,87.5037
77.6037,757,87.6037
77.7037,758,87.7037
77.8037,759,87.8037
77.9037,760,87.9037
78.0037,761,88.0037
78.1037,762,88.1037
78.2037,763,88.2037
78.3037,764,88.3037
78.4037,765,88.4037
78.5037,766,88.5037
78.6037,767,88.6037
78.7037,768,88.7037
78.8037,769,88.8037
78.9037,770,88.9037
79.0037,771,89.0037
79.1037,772,89.1037
79.2037,773,89.2037
79.4037,774,89.4037
79.5037,775,89.5037
79.6037,776,89.6037
79.7037,777,89.7037
79.8037,778,89.8037
79.9037,779,89.9037
80.0037,780,90.0037
80.1037,781,90.1037
80.2037,782,90.2037
80.3037,783,90.3037
80.4037,784,90.4037
80.5037,785,90.5037
80.6037,786,90.6037
80.7037,787,90.7037
80.8037,788,90.8037
80.9037,789,90.9037
81.0037,790,91.0037
81.1037,791,91.1037
81.2037,792,91.2037
81.3037,793,91.3037
81.4037,794,91.4037
81.5037,795,91.5037
81.6037,796,91.6037
81.7037,797,91.7037
81.8037,798,91.8037
81.9037,799,91.9037
82.0037,800,92.0037
82.1037,801,92.1037
82.2037,802,92.2037
82.3037,803,92.3037
82.4037,804,92.4037
82.5037,805,92.5037
82.6037,806,92.6037
82.7037,807,92.7037
82.8037,808,92.8037
82.9037,809,92.9037
83.0037,810,93.0037
83.1037,811,93.1037
83.2037,812,93.2037
83.3037,813,93.3037
83.4037,814,93.4037
83.5037,815,93.5037
83.6037,816,93.6037
83.7037,817,93.7037
83.8037,818,93.8037
83.9037,819,93.9037
84.0037,820,94.0037
84.1037,821,94.1037
84.2037,822,94.2037
84.3037,823,94.3037
84.4037,824,94.4037
84.5037,825,94.5037
84.6037,826,94.6037
84.7037,827,94.7037
84.8037,828,94.8037
84.9037,829,94.9037
85.0037,830,95.0037
85.1037,831,95.1037
85.2037,832,95.2037
85.3037,833,95.3037
85.4037,834,95.4037
85.5037,835,95.5037
85.6037,836,95.6037
85.7037,837,95.7037
85.8037,838,95.8037
85.9037,839,95.9037
86.0037,840,96.0037
86.1037,841,96.1037
86.2037,842,96.2037
86.3037,843,96.3037
86.4037,844,96.4037
86.5037,845,96.5037
86.6037,846,96.6037
86.7037,847,96.7037
86.8037,848,96.8037
86.9037,849,96.9037
87.0037,850,97.0037
87.1037,851,97.1037
87.2037,852,97.2037
87.3037,853,97.3037
87.4037,854,97.4037
87.5037,855,97.5037
87.6037,856,97.6037
87.7037,857,97.7037
87.8037,858,97.8037
87.9037,859,97.9037
88.0037,860,98.0037
88.1037,861,98.1037
88.2037,862,98.2037
88.3037,863,98.3037
88.4037,864,98.4037
88.5037,865,98.5037
88.6037,866,98.6037
88.7037,867,98.7037
88.8037,868,98.8037
88.9037,869,98.9037
89.0037,870,99.0037
89.1037,871,99.1037
89.2037,872,99.2037
89.3037,873,99.3037
89.4037,874,99.4037
89.5037,875,99.5037
89.6037,876,99.6037
89.7037,877,99.7037
89.8037,878,99.8037
89.9037,879,99.9037
90.0037,880,100.004
90.1037,881,100.104
90.2037,882,100.204
90.3037,883,100.304
90.5037,884,100.504
90.6037,885,100.604
90.7037,886,100.704
90.8037,887,100.804
90.9037,888,100.904
91.0037,889,101.004
91.1037,890,101.104
91.2037,891,101.204
91.3037,892,101.304
91.4037,893,101.404
91.5037,894,101.504
91.6037,895,101.604
91.7037,896,101.704
91.8037,897,101.804
91.9037,898,101.904
92.0037,899,102.004
92.1037,900,102.104
92.2037,901,102.204
92.3037,902,102.304
92.4037,903,102.404
92.5037,904,102.504
92.6037,905,102.604
92.7037,906,102.704
92.8037,907,102.804
92.9037,908,102.904
93.0037,909,103.004
93.1037,910,103.104
93.2037,911,103.204
93.3037,912,103.304
93.4037,913,103.404
93.5037,914,103.504
93.6037,915,103.604
93.7037,916,103.704
93.8037,917,103.804
93.9037,918,103.904
94.0037,919,104.004
94.1037,920,104.104
94.2037,921,104.204
94.3037,922,104.304
94.4037,923,104.404
94.5037,924,104.504
94.6037,925,104.604
94.7037,926,104.704
94.8037,927,104.804
94.9037,928,104.904
95.0037,929,105.004
95.1037,930,105.104
95.2037,931,105.204
95.3037,932,105.304
95.4037,933,105.404
95.5037,934,105.504
95.6037,935,105.604
95.7037,936,105.704
95.8037,937,105.804
95.9037,938,105.904
96.0037,939,106.004
96.1037,940,106.104
96.2037,941,106.204
96.3037,942,106.304
96.4037,943,106.404
96.5037,944,106.504
96.6037,945,106.604
96.7037,946,106.704
96.8037,947,106.804
96.9037,948,106.904
97.1037,949,107.104
97.2037,950,107.204
97.3037,951,107.304
97.4037,952,107.404
97.5037,953,107.504
97.6037,954,107.604
97.7037,955,107.704
97.8037,956,107.804
97.9037,957,107.904
98.0037,958,108.004
98.1037,959,108.104
98.2037,960,108.204
98.3037,961,108.304
98.4037,962,108.404
98.5037,963,108.504
98.6037,964,108.604
98.7037,965,108.704
98.8037,966,108.804
98.9037,967,108.904
99.0037,968,109.004
99.1037,969,109.104
99.2037,970,109.204
99.3037,971,109.304
99.4037,972,109.404
99.5037,973,109.504
99.6037,974,109.604
99.7037,975,109.704
99.8037,976,109.804
99.9037,977,109.904
100.004,978,110.004
100.104,979,110.104
100.204,980,110.204
100.304,981,110.304
100.404,982,110.404
